trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
171,False,"{'a': 0.6, 'e': 0.031597952610481664}",20,16,7.469568361050927,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.6, 'e': 0.03096599355827203}",20,0,-12.0534048331999,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
173,False,"{'a': 0.6, 'e': 0.030346673687106588}",25,18,15.075125568928247,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.6, 'e': 0.029739740213364455}",25,19,7.864513023481356,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.6, 'e': 0.029144945409097164}",20,10,23.19256852924714,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.6, 'e': 0.02856204650091522}",20,0,32.40452004481057,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
177,False,"{'a': 0.6, 'e': 0.027990805570896914}",20,8,22.984713104059775,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.6, 'e': 0.027430989459478975}",20,0,-24.492249970260552,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
179,False,"{'a': 0.6, 'e': 0.026882369670289397}",20,6,21.187118696698604,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.6, 'e': 0.026344722276883607}",30,5,36.12981269667541,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.6, 'e': 0.025817827831345935}",30,17,0.7342521052920845,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
182,False,"{'a': 0.6, 'e': 0.025301471274719014}",25,1,32.56871976981459,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.6, 'e': 0.024795441849224633}",20,12,16.390106350443034,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
