trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
80,False,"{'a': 0.5, 'e': 0.9720467106440411}",20,0,-102.49636328944055,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.9713379748520296}",20,0,-55.02373247323919,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.970620497024801}",25,0,-275.14490785916564,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 5}",0
83,False,"{'a': 0.5, 'e': 0.9698942836196508}",25,0,-131.55693294160895,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.9691593411724948}",25,0,-102.5907298939265,"{0: 14, 1: 2, 2: 7, 3: 2, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.9684156762978101}",20,13,-4.012698859782981,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.9676632956885756}",35,0,-126.22107677548001,"{0: 20, 1: 6, 2: 8, 3: 0, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.9669022061162116}",20,0,-141.3299448586515,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
88,False,"{'a': 0.5, 'e': 0.966132414430519}",20,14,-54.55996344094593,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 1}",1
89,False,"{'a': 0.5, 'e': 0.965353927559618}",20,0,-92.99306490084545,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.9645667525098851}",25,0,-69.17776871340754,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.9637708963658905}",30,6,-96.56288031982213,"{0: 12, 1: 5, 2: 5, 3: 2, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.962966366290334}",25,0,-135.4316980378789,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
93,False,"{'a': 0.5, 'e': 0.9621531695239809}",20,0,-128.49228670479013,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
94,False,"{'a': 0.5, 'e': 0.9613313133855966}",20,6,-116.9718012344357,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 3}",1
95,False,"{'a': 0.5, 'e': 0.960500805271881}",20,1,-43.91449674637214,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
96,False,"{'a': 0.5, 'e': 0.9596616526574011}",25,11,-62.00863928493248,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 1}",1
97,False,"{'a': 0.5, 'e': 0.9588138630945251}",20,2,-55.201098305981844,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
98,False,"{'a': 0.5, 'e': 0.9579574442133532}",30,0,-151.68597596628206,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",0
99,False,"{'a': 0.5, 'e': 0.9570924037216496}",30,0,-111.08355440456832,"{0: 16, 1: 4, 2: 9, 3: 1, 4: 0}",0
